"","study_id","author","title","pub_year","journal","citation","pub_type","design_other","country","region","setting","program","objective","iecriteria","intervention","comparator","study_comments","studyn","effect","kp_msm","kp_pwid","kp_pregwomen","kp_tb","kp_infants","kp_children","kp_orphans","kp_street","kp_adolescents","kp_csw","kp_disabled","kp_prisoners","kp_migrants","kp_comments","sufa_id","study_complete","exclude","exclude_reason","pmtct","study_design_number","study_design","proc_id","initials","cas_testing","cas_linkage","cas_staging","cas_initiation","cas_retonelig","cas_retonart","cas_adherence","cas_comments","behav_target","behav_mediator","behav_target_desc","imp_target","imp_target_c","imp_target_o","imp_target_m","imp_target_comment","imp_action","imp_action_desc","imp_actor","imp_dose","imp_temporality","imp_measure","imp_meas_feasible","imp_meas_accept","imp_meas_adopt","imp_meas_fidelity","imp_meas_cost","imp_meas_sustain","imp_meas_comment","imp_outcome","imp_outcome_c","imp_outcome_o","imp_outcome_m","imp_outcome_b","imp_outcome_comment","intervention_name","interv_name_text","proc_complete","behav_level_number","behav_level","intervention_type_number","intervention_type"
"1",11,"Abdool Karim","Integration of antiretroviral therapy with tuberculosis treatment",2011," N Engl J Med",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,19,1,0,0,0,1,0,0,0,NA,1,1,"None of these are explicitly stated in the manuscript - they are my interpretation of the target/target level.  I think the behavioral target is getting providers to initiate patients on ART early in TB treatment course",0,0,0,0,NA,0,"Does this describe temporality of the 'guideline change' action?  If so, this is not described.  If it describes the temporality proscribed by the action, then this is described - initiation of ART within 4 weeks of initiating TB treatment",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,1,"Early Art intiation during TB treatment",TRUE,3,"Individuals - health care workers","10","Guidelines"
"2",12,"Achieng"," The use of pill counts as a facilitator of adherence with antiretroviral therapy in resource limited settings",2013,"Plos One",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,21,1,0,0,0,0,0,0,1,NA,1,0,"medication adherence.  Note, the implementation intervention target is not specified, motivation is just my interpretation.",1,0,0,1,NA,1,"conduct pill count at every visit",1,0,1,1,0,0,1,0,0,0,NA,0,0,0,0,0,NA,1,"pill counts",TRUE,2,"Individuals - patients","1","Counselling"
"3",13,"Arrive"," HIV status disclosure and retention in care in HIV-infected adolescents on antiretroviral therapy (ART) in West Africa",2012,"Plos One",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,22,1,0,0,0,0,0,1,0,NA,1,1,"Also parents.  Proximal behavioral target is disclose HIV status to adolescents.",0,0,0,0,NA,0,"Not clearly described.  Disclosure to adolescents happened in a variety of ways - planned vs unplanned, delivered by doctors vs. psychologists vs parents, no clear protocol for conducting disclsoure.",1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,1,"disclosure to adolescent patients",TRUE,3,"Individuals - health care workers","1","Counselling"
"4",14,"Barton"," Cost-effectiveness of nurse-led versus doctor-led antiretroviral treatment in South Africa: pragmatic cluster randomised trial",2013," Trop Med Int Health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,23,1,0,0,0,1,1,1,0,NA,1,1,"Health systems intervention.  Nurse provision of ART management (initiation, represcription, ART monitoring).  Implementation intervention target not clearly described - probably capability and opportunity, though motivation could also be at play if incen",0,0,0,0,NA,0,"STRETCH intervention - not described here, but seemingly a training and new guideline development was involved.  Actor was ""selected nurses"" - unclear how selected as the decision was left up to clinic managers",1,0,0,1,1,0,0,0,1,0,NA,0,0,0,0,0,NA,1,"task shifting",TRUE,4,"Organizations","10;16",NA
"5",15,"Batavia"," Adherence to antiretroviral therapy in patients participating in a graduated cost recovery program at an HIV care center in South India",2010,"AIDS and Behavior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,24,1,0,0,0,0,0,0,1,NA,1,0,"medication adherence.  Implementation target is vaguely referred to, mostly this reflects my own interpreatation.",1,1,1,0,NA,1,"Cost restructuring, not clearly described.  Dose is roughly based on income level, but this is not clearly described.",0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,1,"Graduated Cost Recovery",TRUE,2,"Individuals - patients","8","Incentives"
"6",351,"Alamo","Electronic medical records and same day patient tracing improves clinic effi ciency and adherence to appointments in a community based HIV/AIDS care program, in Uganda",2012,"AIDS Behav","Alamo ST, Wagner GJ, Sunday P, et al. Electronic medical records and same day patient tracing improves clinic effi ciency and adherence to appointments in a community based HIV/AIDS care program, in Uganda. AIDS Behav 2012; 16: 368–74.","journal",NA,"Uganda",NA,"Community-based HIV clinic in Kampala (urban)","clinic","To evaluate the impact of Electronic Medical Records (EMR) and same day patient tracing on missed clinic appointments","All patients seen in clinic","Electronic medical record and same-day patient tracing","pre- implementation of EMR and daily patient tracing","N= number of appointments",7104,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,1,FALSE,FALSE,NA,FALSE,1,"Before-and-after",53,1,0,0,0,0,1,1,0,"Missed appointments, loss to follow-up",1,0,"appointment attendance",1,0,1,0,"Same-day reminders for those who miss addresses forgetfulness; reduced wait times reduces time barrier to clinic attendance.",1,"EMR, generation of clinic schedule, same-day identification of patients who miss an appointment, CHW home visit for missed visits, patient allowed return if same-day but penalized (seen last) if return on a different day",1,1,1,0,0,0,0,0,0,0,NA,1,0,1,0,1,"Measured reasons for missed appointment pre/post intervention - reduction in 'forgetfulness'.  Wait times also measured.",1,"EMR + same-day tracing for missed appointments",TRUE,2,"Individuals - patients","25;34;35",NA
"7",352,"Assefa","Effectiveness and acceptability of delivery of antiretroviral treatment in health centres by health officers and nurses in Ethiopia",2012,"Journal of health services research & policy","Assefa Y, Kiflie A, Tekle B, Mariam DH, Laga M, Van Damme W. Effectiveness and acceptability of delivery of antiretroviral treatment in health centres by health officers and nurses in Ethiopia. Journal of health services research & policy 2012;17(1):24–9.","journal",NA,"Ethiopia",NA,"Nationwide, 30 hospitals, 25 health centres","hospital/clinic","to evaluate the effectiveness and acceptability of ART delivery by health officers and nurses in Ethiopia.","None described","Patients initiated and maintained at health centres by nurses and health officers. Severe manifestations, treatment failures were referred to hospital","Initiated and followed up at hospital with physicians","number of patients not reported, n is number of clinics & hospitals",55,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,55,FALSE,FALSE,NA,FALSE,4,"Retrospective cohort",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",353,"Balcha","Outcomes of antiretroviral treatment: a comparison between hospitals and health centers in Ethiopia",2010,"Journal of the International association of Physicians in AIDS Care","Balcha TT, Jeppsson A. Outcomes of antiretroviral treatment: a comparison between hospitals and health centers in Ethiopia. Journal of the International Association of Physicians in AIDS Care (Chicago, Ill. : 2002) 2010;9(5): 318–24.","journal",NA,"Ethiopia",NA,"2 hospitals , 3 health centers","hospital/clinic","to compare the outcomes of antiretroviral therapy (ART) between hospital and health center levels in Ethiopia","Adults eligible for antiretroviral treatment (CD4 <200cell/mm3 or WHO clinical stage 3 or 4) and on treatment for < 6 months","Initiation on antiretrovirals in health centre, maintenance in health centre; provided by nurses and health officers","Initiated and maintained in hospital, provided by doctors",NA,1709,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,56,FALSE,FALSE,NA,FALSE,4,"Retrospective cohort",55,1,0,0,0,0,0,1,0,NA,0,0,"Target not specified.  Cascade step is retention, grossly defined as remaining alive and in clinic.",1,0,1,0,"Reduce barrier of distance to clinic/transportation costs in time and money.",0,"""decentralization"" not defined as a clear action in this study - compares outcomes among patients at central vs. decentralized sites thus it is not clear if the action is to open new clinics, guide patients to these new clinics etc.",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"Distance to clinic, reduction in barriers to travel to clinic were not measured.",1,"'Decentralization', though as mentioned above, this is not a clear intervention",TRUE,2,"Individuals - patients","19","Decentralization"
"9",354,"Bassett","Linkage to care following community-based mobile HIV testing compared with clinic-based testing in Umlazi Township, Durban, South Africa",2013,"HIV Medicine","Bassett, I., Regan, S., Luthuli, P., Mbonambi, H., Bearnot, B., Pendleton, A., Robine, M., Mukuvisi, D., Thulare, H., Walensky, R., Freedberg, K., Losina, E. and Mhlongo, B. (2013), Linkage to care following community-based mobile HIV testing compared wit","journal",NA,"South Africa",NA,"1 mobile and 1 clinic testing site",NA,"to compare linkage to care from mobile and clinic-based testing sites","adults (>=15)","mobile testing with immediate CD4 draw","clinic testing with immediate CD4 draw","potential problems with record linkage - only 33% of mobile testers had blood drawn for CD4, unclear how individuals were identified who later returned to clinic for CD4 testing",6957,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,222,FALSE,FALSE,NA,FALSE,5,"Prospective cohort",56,1,1,1,1,0,0,0,0,"No denominator for testing.  Linkage and staging are conflated.",1,0,"Waiting for CD4 blood draw, clinic attendance following HIV diagnosis",0,0,0,0,NA,1,"Mobile testing offered at various locations by HIV counselors.  Conducted under tents with on-site plebotomy",1,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,1,"Behavioral outcomes measured include waiting for blood draw and clinic attendance following positive test.",1,"mobile testing",TRUE,2,"Individuals - patients","23;26",NA
"10",355,"Bedelu","Implementing antiretroviral therapy in rural communities: the Lusikisiki model of decentralized HIV/AIDS care",2007,"Journal of Infectious Diseases","BedeluM, Ford N,Hilderbrand K, Reuter H. Implementing antiretroviral therapy in rural communities: the Lusikisiki model of decentralized HIV/AIDS care. The Journal of infectious diseases 2007;196 Suppl 3:S464–8.","journal",NA,"South Africa",NA,"Rural, 12 health centres, 1 hospital","hospital/clinic","to compare the outcomes of antiretroviral therapy (ART) between hospital and decentralized health center levels","adults initiating ART (CD4<200 or WHO stage 4)","ART initiated and maintained at health centre by nurses, physician support with mobile team, adherence counsellors and patient support groups available","ART initiated and maintained at hospital by doctors",NA,1025,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,57,FALSE,FALSE,NA,FALSE,4,"Retrospective cohort",57,1,0,0,0,0,0,1,0,"LTFU is retention 'outcome'",0,1,"Roughly speaking, the behavior targeted by this intervention is at the clinic level and is to ""retain"" patients in clinical care.  The behavior that is involved in retaining patients at the clinic level is not clearly defined.",1,1,0,0,"The authors assert that the major driving force toward the ill-defined behavioral target is clinic capability - through decentralization and task shifting, clinics are better able to deliver services.",0,"decentralization of HIV services to other clinics, task shifting to nurses and mobile visits by physicians are described. However, the roles of the actual actors carrying out 'decentralization' are not described.",0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,1,"decentralization, task-shifting",TRUE,4,"Organizations","14;16;19",NA
